country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,ninja,Kevan,11.0,-35.0,142.5,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2023,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,59.5,9.153,114,,
2023,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,68.1,9.265,109,,
2023,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,245.4,8.903,102,,
2023,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,215.1,8.369,94,,
2023,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,191.0,8.038,84,,
2023,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,179.3,8.228,73,,
2023,1,1,6,0,14.2,-98,82.3,12.5,78,134.0,0,11.000000000000009,0,1002.3,159.8,8.631,62,,
2023,1,1,7,0,14.8,-88,90.4,13.2,52,505.0,0,133.7250705057547,0,1003,138.1,6.775,51,,
2023,1,1,8,0,15.4,-76,88.5,13.9,95,708.0,0,343.00864126535,0,1003.7,28.5,5.049,40,,
2023,1,1,9,0,15.9,-60,80.8,13.5,179,808.0,0,561.1042392026364,0,1004,263.1,6.295,30,,
2023,1,1,10,0,16.4,-33,59.9,12.3,405,859.0,7,756.1082716103144,0,1004.1,258.3,6.144,21,,
2023,1,1,11,0,16.9,6,25.9,10.9,426,860.0,353,912.9470733847744,0,1004.2,235.9,5.731,19,,
2023,1,1,12,0,17.1,42,5.9,9.7,228,872.0,734,1020.5063791271184,0,1004.4,243.1,5.493,23,,
2023,1,1,13,0,17.2,65,7.9,8.6,236,871.0,628,1070.21612230028,0,1004.7,234.4,5.309,32,,
2023,1,1,14,0,17.2,80,4.1,7.6,155,860.0,606,1061.915544059426,0,1005,232.8,4.94,43,,
2023,1,1,15,0,16.9,91,0,7,74,792.0,544,965.5627343704016,0,1005.3,227.0,4.479,54,,
2023,1,1,16,0,16.3,100,0.2,6.8,65,754.0,349,840.1168997124689,0,1005.7,217.0,4.056,66,,
2023,1,1,17,0,15.6,109,12.4,6.7,75,670.0,117,651.668375560285,0,1006.1,220.5,3.69,77,,
2023,1,1,18,0,14.7,118,6.9,6.7,30,521.0,10,419.6093580020156,0,1006.5,221.9,3.454,87,,
2023,1,1,19,0,13.5,129,0.6,6.8,0,321.0,0,191.30308493382427,0,1006.9,210.6,3.847,96,,
2023,1,1,20,0,12.3,140,32.9,6.8,0,59.0,0,19.178879701297127,0,1007.3,198.9,5.709,104,,
2023,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,202.4,7.989,111,,
2023,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,198.5,9.965,115,,
2023,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,181.4,11.094,116,,
2023,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,139.9,11.453,114,,
2023,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,93.8,11.683,109,,
2023,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,85.9,11.851,102,,
2023,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,95.5,11.689,94,,
2023,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,89.6,10.834,84,,
2023,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,78.4,9.073,74,,
2023,1,2,6,0,15.5,-98,66.4,11.7,147,6.0,0,6.0,0,1007,74.0,7.811,62,,
2023,1,2,7,0,17.1,-88,49.3,12.4,326,31.0,3,58.59455558400705,0,1006.8,84.0,7.732,51,,
2023,1,2,8,0,18.7,-76,27.8,13.1,431,93.0,148,178.95418856289828,0,1006.5,85.9,8.46,40,,
2023,1,2,9,0,19.5,-60,23.1,13.4,492,718.0,211,539.3023756651585,0,1006.1,83.1,10.231,30,,
2023,1,2,10,0,19.8,-33,47.7,13.3,440,801.0,72,742.5543106010736,0,1005.5,83.5,11.173,22,,
2023,1,2,11,0,19.9,6,51.5,13.2,487,858.0,0,898.1460931937406,0,1005,83.1,10.172,19,,
2023,1,2,12,0,20.1,42,40.8,13.2,574,874.0,1,1006.5071233340972,0,1004.4,81.7,8.802,23,,
2023,1,2,13,0,20.1,65,33.4,13.4,545,878.0,44,1059.5428574648258,0,1003.7,82.7,7.639,32,,
2023,1,2,14,0,20.2,80,33.2,13.6,474,869.0,27,1052.5659358651403,0,1003.1,82.4,6.8260000000000005,43,,
2023,1,2,15,0,20,91,28.2,13.7,355,851.0,52,987.337658045006,0,1002.5,84.4,7.343,54,,
2023,1,2,16,0,19.6,100,38.5,13.8,210,822.0000000000001,29,865.9304411196917,0,1001.9,88.9,8.556000000000001,66,,
